Detector Descriptor ImageID lidarTTC cameraTTC TTC_Difference
FAST ORB 10 11.1746 13.3607 -2.18603
FAST ORB 11 12.8086 13.3597 -0.551094
FAST ORB 12 8.95978 10.8955 -1.93576
FAST ORB 13 9.96439 12.0411 -2.07675
FAST ORB 14 9.59863 10.8747 -1.27603
FAST ORB 15 8.57352 11.2036 -2.6301
FAST ORB 16 9.51617 11.1948 -1.67864
FAST ORB 17 9.54658 7.86906 1.67752
FAST ORB 18 8.3988 10.8512 -2.45244
FAST FREAK 1 12.5156 12.3379 0.177736
FAST FREAK 2 12.6142 16.825 -4.2108
FAST FREAK 3 14.091 15.6456 -1.55457
FAST FREAK 4 16.6894 14.2854 2.40398
FAST FREAK 5 15.9082 15.1148 0.793463
FAST FREAK 6 12.6787 12.9931 -0.314355
FAST FREAK 7 11.9844 13.2153 -1.23094
FAST FREAK 8 13.1241 11.8211 1.30302
FAST FREAK 9 13.0241 12.2131 0.811057
FAST FREAK 10 11.1746 12.7001 -1.5255
FAST FREAK 11 12.8086 13.1 -0.291399
FAST FREAK 12 8.95978 11.7095 -2.74974
FAST FREAK 13 9.96439 12.0033 -2.03893
FAST FREAK 14 9.59863 11.5103 -1.91165
FAST FREAK 15 8.57352 11.4314 -2.85792
FAST FREAK 16 9.51617 12.381 -2.8648
FAST FREAK 17 9.54658 8.48654 1.06004
FAST FREAK 18 8.3988 11.9975 -3.5987
BRISK BRISK 1 12.5156 13.9354 -1.41983
BRISK BRISK 2 12.6142 14.6313 -2.01701
BRISK BRISK 3 14.091 11.9318 2.15921
BRISK BRISK 4 16.6894 15.5311 1.15827
BRISK BRISK 5 15.9082 26.8377 -10.9294
BRISK BRISK 6 12.6787 14.2475 -1.56874
BRISK BRISK 7 11.9844 18.1338 -6.14945
BRISK BRISK 8 13.1241 17.1048 -3.98069
BRISK BRISK 9 13.0241 15.1063 -2.08223
BRISK BRISK 10 11.1746 14.2526 -3.07798
BRISK BRISK 11 12.8086 13.0458 -0.237224
BRISK BRISK 12 8.95978 11.5799 -2.62009
BRISK BRISK 13 9.96439 12.6265 -2.66209
BRISK BRISK 14 9.59863 11.3713 -1.77269
BRISK BRISK 15 8.57352 12.1932 -3.61964
BRISK BRISK 16 9.51617 10.3542 -0.838066
BRISK BRISK 17 9.54658 9.3492 0.197377
BRISK BRISK 18 8.3988 10.5696 -2.17082
BRISK BRIEF 1 12.5156 13.7134 -1.19784
BRISK BRIEF 2 12.6142 18.4095 -5.79528
BRISK BRIEF 3 14.091 12.4078 1.68321
BRISK BRIEF 4 16.6894 19.8503 -3.1609
BRISK BRIEF 5 15.9082 27.574 -11.6658
BRISK BRIEF 6 12.6787 19.1811 -6.50243
BRISK BRIEF 7 11.9844 17.9009 -5.91655
BRISK BRIEF 8 13.1241 18.376 -5.25187
BRISK BRIEF 9 13.0241 14.9617 -1.93754
BRISK BRIEF 10 11.1746 12.0457 -0.871063
BRISK BRIEF 11 12.8086 11.5343 1.2743
BRISK BRIEF 12 8.95978 14.3071 -5.34729
BRISK BRIEF 13 9.96439 12.8926 -2.92818
BRISK BRIEF 14 9.59863 10.3194 -0.720761
BRISK BRIEF 15 8.57352 11.1036 -2.5301
BRISK BRIEF 16 9.51617 13.047 -3.53085
BRISK BRIEF 17 9.54658 11.1952 -1.64858
BRISK BRIEF 18 8.3988 9.60206 -1.20326
BRISK ORB 1 12.5156 13.6881 -1.17253
BRISK ORB 2 12.6142 15.8645 -3.25022
BRISK ORB 3 14.091 12.8613 1.22975
BRISK ORB 4 16.6894 17.0807 -0.391352
BRISK ORB 5 15.9082 20.6383 -4.7301
BRISK ORB 6 12.6787 15.4104 -2.73172
BRISK ORB 7 11.9844 18.9386 -6.95423
BRISK ORB 8 13.1241 15.2256 -2.10146
BRISK ORB 9 13.0241 12.5992 0.424923
BRISK ORB 10 11.1746 12.3703 -1.19569
BRISK ORB 11 12.8086 12.4638 0.344811
BRISK ORB 12 8.95978 10.6127 -1.65288
BRISK ORB 13 9.96439 11.8618 -1.89737
BRISK ORB 14 9.59863 11.0813 -1.48266
BRISK ORB 15 8.57352 11.9431 -3.36957
BRISK ORB 16 9.51617 10.1962 -0.680002
BRISK ORB 17 9.54658 9.65025 -0.103664
BRISK ORB 18 8.3988 10.5199 -2.12112
BRISK FREAK 1 12.5156 14.0291 -1.51348
BRISK FREAK 2 12.6142 22.3822 -9.76791
BRISK FREAK 3 14.091 15.5832 -1.49219
BRISK FREAK 4 16.6894 13.6048 3.08455
BRISK FREAK 5 15.9082 24.9967 -9.08848
BRISK FREAK 6 12.6787 15.5497 -2.87097
BRISK FREAK 7 11.9844 14.3446 -2.36026
BRISK FREAK 8 13.1241 17.0214 -3.89726
BRISK FREAK 9 13.0241 18.0824 -5.05828
BRISK FREAK 10 11.1746 13.6278 -2.45319
BRISK FREAK 11 12.8086 12.7129 0.0956659
BRISK FREAK 12 8.95978 12.4794 -3.5196
BRISK FREAK 13 9.96439 12.3599 -2.39555
BRISK FREAK 14 9.59863 11.7987 -2.20011
BRISK FREAK 15 8.57352 12.425 -3.85146
BRISK FREAK 16 9.51617 10.1257 -0.609503
BRISK FREAK 17 9.54658 8.8349 0.71168
BRISK FREAK 18 8.3988 10.6058 -2.20699
ORB BRISK 1 12.5156 17.4836 -4.96798
ORB BRISK 2 12.6142 15.4465 -2.83223
ORB BRISK 3 14.091 19.2234 -5.13235
ORB BRISK 4 16.6894 21.2018 -4.51241
ORB BRISK 5 15.9082 73.2489 -57.3406
ORB BRISK 6 12.6787 12.6176 0.0610672
ORB BRISK 7 11.9844 17.261 -5.27664
ORB BRISK 8 13.1241 11.1 2.02409
ORB BRISK 9 13.0241 11.9786 1.04555
ORB BRISK 10 11.1746 13.3055 -2.13082
ORB BRISK 11 12.8086 8.49484 4.31376
ORB BRISK 12 8.95978 5416.2 -5407.24
ORB BRISK 13 9.96439 8.33753 1.62686
ORB BRISK 14 9.59863 9.26013 0.338501
ORB BRISK 15 8.57352 9.65484 -1.08132
ORB BRISK 16 9.51617 9.37082 0.145351
ORB BRISK 17 9.54658 14.3156 -4.76906
ORB BRISK 18 8.3988 20.0707 -11.6719
ORB BRIEF 1 12.5156 16.4544 -3.93883
ORB BRIEF 2 12.6142 16.969 -4.35473
ORB BRIEF 3 14.091 30.865 -16.774
ORB BRIEF 4 16.6894 25.2172 -8.52777
ORB BRIEF 5 15.9082 25.429 -9.52081
ORB BRIEF 6 12.6787 18.2578 -5.57909
ORB BRIEF 7 11.9844 40.0236 -28.0393
ORB BRIEF 8 13.1241 31.8478 -18.7237
ORB BRIEF 9 13.0241 271.325 -258.301
ORB BRIEF 10 11.1746 15.4348 -4.26014
ORB BRIEF 11 12.8086 10.4229 2.38571
ORB BRIEF 12 8.95978 16.6093 -7.64948
ORB BRIEF 13 9.96439 10.7998 -0.835383
ORB BRIEF 14 9.59863 8.40597 1.19266
ORB BRIEF 15 8.57352 10.5287 -1.95515
ORB BRIEF 16 9.51617 13.4955 -3.97933
ORB BRIEF 17 9.54658 17.2956 -7.74903
ORB BRIEF 18 8.3988 13.2522 -4.85342
ORB ORB 1 12.5156 24.7809 -12.2653
